ticker,name,market,sector,index
AEC,Anfield Energy Inc. - Common Shares,US,,USALL
AEE,Ameren Corporation Common Stock,US,,USALL
AEF,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",US,,USALL
AEG,Aegon Ltd. New York Registry Shares,US,,USALL
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,US,,USALL
AEHR,Aehr Test Systems - Common Stock,US,,USALL
AEI,Alset Inc. - Common Stock,US,,USALL
AEIS,"Advanced Energy Industries, Inc. - Common Stock",US,,USALL
AEM,Agnico Eagle Mines Limited Common Stock,US,,USALL
AEMD,"Aethlon Medical, Inc. - Common Stock",US,,USALL
AENT,Alliance Entertainment Holding Corporation - common stock,US,,USALL
AEO,"American Eagle Outfitters, Inc. Common Stock",US,,USALL
AEON,"AEON Biopharma, Inc. Class A Common Stock",US,,USALL
AEP,"American Electric Power Company, Inc. - Common Stock",US,,USALL
AER,AerCap Holdings N.V. Ordinary Shares,US,,USALL
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",US,,USALL
AES,The AES Corporation Common Stock,US,,USALL
AESI,Atlas Energy Solutions Inc. Common Stock,US,,USALL
AESP,Aeon Acquisition I Corp. - Class A Ordinary Shares,US,,USALL
AEVA,"Aeva Technologies, Inc. - Common Stock",US,,USALL
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,US,,USALL
AEYE,"AudioEye, Inc. - Common Stock",US,,USALL
AFB,AllianceBernstein National Municipal Income Fund Inc,US,,USALL
AFCG,Advanced Flower Capital Inc. - Common Stock,US,,USALL
AFG,"American Financial Group, Inc. Common Stock",US,,USALL
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",US,,USALL
AFL,AFLAC Incorporated Common Stock,US,,USALL
AFRI,Forafric Global PLC - Ordinary Shares,US,,USALL
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",US,,USALL
AFYA,Afya Limited - Class A Common Shares,US,,USALL
AG,First Majestic Silver Corp. Ordinary Shares (Canada),US,,USALL
AGBK,AGI Inc Class A Common Shares,US,,USALL
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,US,,USALL
AGCO,AGCO Corporation Common Stock,US,,USALL
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,US,,USALL
AGEN,Agenus Inc. - Common Stock,US,,USALL
AGI,Alamos Gold Inc. Class A Common Shares,US,,USALL
AGIG,Abundia Global Impact Group Inc. Common stock,US,,USALL
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",US,,USALL
AGL,"agilon health, inc. Common Stock",US,,USALL
AGM,Federal Agricultural Mortgage Corporation Common Stock,US,,USALL
AGM-A,Federal Agricultural Mortgage Corporation Common Stock,US,,USALL
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,US,,USALL
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,US,,USALL
AGNC,AGNC Investment Corp. - Common Stock,US,,USALL
AGNT,"AGNT, Inc. - Common Stock",US,,USALL
AGO,Assured Guaranty Ltd. Common Stock,US,,USALL
AGPU,Axe Compute Inc. - Common Stock,US,,USALL
AGRO,Adecoagro S.A. Common Shares,US,,USALL
AGRZ,Agroz Inc. - Class A Ordinary Shares,US,,USALL
AGX,"Argan, Inc. Common Stock",US,,USALL
AGYS,"Agilysys, Inc. - Common Stock",US,,USALL
AHCO,AdaptHealth Corp.  - Common Stock,US,,USALL
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,US,,USALL
AHR,"American Healthcare REIT, Inc. Common Stock",US,,USALL
AHRT,"AH Realty Trust, Inc. Common Stock",US,,USALL
AHT,Ashford Hospitality Trust Inc Common Stock,US,,USALL
AI,"C3.ai, Inc. Class A Common Stock",US,,USALL
AIAI,AIAI Holdings Corporation - Class A common stock,US,,USALL
AIB,AIB Data Centers Inc. Common Stock,US,,USALL
AIBZ,Bitzero Holdings Inc. - Common Shares,US,,USALL
AIFA,"All In FutureTech Alliance, Inc. - Common Stock",US,,USALL
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",US,,USALL
AIFU,AIFU Inc. - Class A Ordinary Share,US,,USALL
AIG,"American International Group, Inc. New Common Stock",US,,USALL
AII,"American Integrity Insurance Group, Inc. Common Stock",US,,USALL
AIIA,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,US,,USALL
AIIO,Robo.ai Inc. - Class B Ordinary Shares,US,,USALL
AIIR,Air Global PLC - Ordinary shares,US,,USALL
AIM,AIM ImmunoTech Inc. Common Stock,US,,USALL
