raw_symbol,name,sector,index,market,ticker
DUOL,Duolingo,Consumer Discretionary,SP400,US,DUOL
DY,Dycom Industries,Industrials,SP400,US,DY
EEFT,Euronet Worldwide,Financials,SP400,US,EEFT
EGP,EastGroup Properties,Real Estate,SP400,US,EGP
EHC,Encompass Health,Health Care,SP400,US,EHC
ELAN,Elanco,Health Care,SP400,US,ELAN
ELF,e.l.f. Beauty,Consumer Staples,SP400,US,ELF
ELS,Equity Lifestyle Properties,Real Estate,SP400,US,ELS
ENS,EnerSys,Industrials,SP400,US,ENS
ENSG,Ensign Group,Health Care,SP400,US,ENSG
ENTG,Entegris,Information Technology,SP400,US,ENTG
EPR,EPR Properties,Real Estate,SP400,US,EPR
EQH,Equitable Holdings,Financials,SP400,US,EQH
ESAB,ESAB,Industrials,SP400,US,ESAB
ESNT,Essent Group Ltd.,Financials,SP400,US,ESNT
EVR,Evercore,Financials,SP400,US,EVR
EWBC,East West Bancorp,Financials,SP400,US,EWBC
EXEL,Exelixis,Health Care,SP400,US,EXEL
EXLS,EXL Service,Industrials,SP400,US,EXLS
EXP,Eagle Materials,Materials,SP400,US,EXP
EXPO,"Exponent, Inc.",Industrials,SP400,US,EXPO
FAF,First American Financial Corporation,Financials,SP400,US,FAF
FBIN,Fortune Brands Innovations,Industrials,SP400,US,FBIN
FCFS,FirstCash,Financials,SP400,US,FCFS
FCN,FTI Consulting,Industrials,SP400,US,FCN
FFIN,First Financial Bankshares,Financials,SP400,US,FFIN
FHI,Federated Hermes,Financials,SP400,US,FHI
FHN,First Horizon,Financials,SP400,US,FHN
FIVE,Five Below,Consumer Discretionary,SP400,US,FIVE
FLG,Flagstar Bank,Financials,SP400,US,FLG
FLR,Fluor,Industrials,SP400,US,FLR
FLS,Flowserve,Industrials,SP400,US,FLS
FN,Fabrinet,Information Technology,SP400,US,FN
FNB,FNB Corporation,Financials,SP400,US,FNB
FND,Floor & Decor,Consumer Discretionary,SP400,US,FND
FNF,Fidelity National Financial,Financials,SP400,US,FNF
FOUR,Shift4,Financials,SP400,US,FOUR
FR,First Industrial Realty Trust,Real Estate,SP400,US,FR
FTI,TechnipFMC,Energy,SP400,US,FTI
G,Genpact,Industrials,SP400,US,G
GAP,Gap Inc.,Consumer Discretionary,SP400,US,GAP
GATX,GATX,Industrials,SP400,US,GATX
GBCI,Glacier Bancorp,Financials,SP400,US,GBCI
GEF,"Greif, Inc.",Materials,SP400,US,GEF
GGG,Graco Inc.,Industrials,SP400,US,GGG
GHC,Graham Holdings,Consumer Discretionary,SP400,US,GHC
GLPI,Gaming and Leisure Properties,Real Estate,SP400,US,GLPI
GME,GameStop,Consumer Discretionary,SP400,US,GME
GMED,Globus Medical,Health Care,SP400,US,GMED
GNTX,Gentex,Consumer Discretionary,SP400,US,GNTX
GPK,Graphic Packaging,Materials,SP400,US,GPK
GWRE,Guidewire Software,Information Technology,SP400,US,GWRE
GXO,GXO Logistics,Industrials,SP400,US,GXO
H,Hyatt,Consumer Discretionary,SP400,US,H
HAE,Haemonetics,Health Care,SP400,US,HAE
HALO,Halozyme,Health Care,SP400,US,HALO
HGV,Hilton Grand Vacations,Consumer Discretionary,SP400,US,HGV
HIMS,Hims & Hers Health,Health Care,SP400,US,HIMS
HL,Hecla Mining,Materials,SP400,US,HL
HLI,Houlihan Lokey,Financials,SP400,US,HLI
HLNE,Hamilton Lane,Financials,SP400,US,HLNE
HOG,Harley-Davidson,Consumer Discretionary,SP400,US,HOG
HOMB,Home BancShares,Financials,SP400,US,HOMB
HQY,HealthEquity,Health Care,SP400,US,HQY
HR,Healthcare Realty Trust,Real Estate,SP400,US,HR
HRB,H&R Block,Consumer Discretionary,SP400,US,HRB
HWC,Hancock Whitney,Financials,SP400,US,HWC
HXL,Hexcel,Industrials,SP400,US,HXL
