raw_symbol,name,sector,index,market,ticker
POLN,Pollen Street Group,Financial Services,FTSE250,UK,POLN.L
PPH,PPHE Hotel Group,Travel and Leisure,FTSE250,UK,PPH.L
PFD,Premier Foods,Food & Drug Retailers,FTSE250,UK,PFD.L
PHP,Primary Health Properties,Real Estate Investment Trusts,FTSE250,UK,PHP.L
PRN,Princes Group,Food and drink,FTSE250,UK,PRN.L
QQ,Qinetiq,Aerospace & Defence,FTSE250,UK,QQ.L
QLT,Quilter,Financial Services,FTSE250,UK,QLT.L
RNK,Rank Group,Travel and Leisure,FTSE250,UK,RNK.L
RPI,Raspberry Pi Holdings,Technology,FTSE250,UK,RPI.L
RAT,Rathbones,Financial Services,FTSE250,UK,RAT.L
RSW,Renishaw,Electronic & Electrical Equipment,FTSE250,UK,RSW.L
RHIM,RHI Magnesita,Support Services,FTSE250,UK,RHIM.L
RMV,Rightmove,Media,FTSE250,UK,RMV.L
RCP,RIT Capital Partners,Investment Trusts,FTSE250,UK,RCP.L
ROSE,Rosebank Industries,Industrial Goods and Services,FTSE250,UK,ROSE.L
ROR,Rotork,Industrial Engineering,FTSE250,UK,ROR.L
RS1,RS Group,Industrials,FTSE250,UK,RS1.L
RTW,RTW Biotech Opportunities,Investment Trusts,FTSE250,UK,RTW.L
RICA,Ruffer Investment Company,Investment Trusts,FTSE250,UK,RICA.L
SAFE,Safestore,Real Estate Investment Trusts,FTSE250,UK,SAFE.L
SAGA,Saga,Travel and Leisure,FTSE250,UK,SAGA.L
SVS,Savills,Real Estate Investment & Services,FTSE250,UK,SVS.L
MNTN,Schiehallion Fund,Investment Trusts,FTSE250,UK,MNTN.L
ATR,Schroder Asian Total Return Investment Company,Investment Trusts,FTSE250,UK,ATR.L
SDP,Schroder AsiaPacific Fund,Investment Trusts,FTSE250,UK,SDP.L
SOI,Schroder Oriental Income Fund,Financial Services,FTSE250,UK,SOI.L
SAIN,Scottish American Investment Company,Investment Trusts,FTSE250,UK,SAIN.L
SEIT,SDCL Efficiency Income Trust,Energy,FTSE250,UK,SEIT.L
SNR,Senior,Aerospace & Defence,FTSE250,UK,SNR.L
SEQI,Sequoia Economic Infrastructure Income Fund,Financial Services,FTSE250,UK,SEQI.L
SSIT,Seraphim Space Investment Trust,Investment Trusts,FTSE250,UK,SSIT.L
SRP,Serco,Support Services,FTSE250,UK,SRP.L
SHC,Shaftesbury Capital,Real Estate Investment Trusts,FTSE250,UK,SHC.L
SHAW,Shawbrook Bank,Banking,FTSE250,UK,SHAW.L
SRE,Sirius Real Estate,Real Estate,FTSE250,UK,SRE.L
SCT,Softcat,Software & Computer Services,FTSE250,UK,SCT.L
SPI,Spire Healthcare,Health Care Equipment & Services,FTSE250,UK,SPI.L
SSPG,SSP Group,Retailers,FTSE250,UK,SSPG.L
SUPR,Supermarket Income REIT,Real Estate Investment Trusts,FTSE250,UK,SUPR.L
SYNC,Syncona,Pharmaceuticals & Biotechnology,FTSE250,UK,SYNC.L
THRL,Target Healthcare REIT,Real Estate Investment Trusts,FTSE250,UK,THRL.L
TATE,Tate & Lyle,Food Producers,FTSE250,UK,TATE.L
TW,Taylor Wimpey,Household goods & home construction,FTSE250,UK,TW.L
TBCG,TBC Bank,Banks,FTSE250,UK,TBCG.L
TEP,Telecom Plus,Telecomms,FTSE250,UK,TEP.L
TMPL,Temple Bar Investment Trust,Collective Investments,FTSE250,UK,TMPL.L
TEM,Templeton Emerging Markets Investment Trust,Investment Trusts,FTSE250,UK,TEM.L
TRIG,The Renewables Infrastructure Group,Investment Trusts,FTSE250,UK,TRIG.L
THG,THG,Personal Products,FTSE250,UK,THG.L
TCAP,TP ICAP,Support Services,FTSE250,UK,TCAP.L
TRN,Trainline,Industrial Transportation,FTSE250,UK,TRN.L
