ticker,type,price,why
IQV,BUY STOP,264.8412,"breakout trigger, above the base pivot"
IQV,BUY LIMIT,260.4,"pullback entry, old resistance acting as support"
IQV,STOP LOSS,233.0602,"initial stop, below base support and the 30 week average"
IQV,BREAKEVEN,296.6221,move the stop to entry here
IQV,TARGET 1,386.6654,"measured move, sell part of the position (3.83R)"
IQV,TARGET 2,487.6777,second measured move (7.01R)
GWRE,BUY STOP,195.0325,"breakout trigger, above the base pivot"
GWRE,BUY LIMIT,189.92,"pullback entry, old resistance acting as support"
GWRE,STOP LOSS,171.6286,"initial stop, below base support and the 30 week average"
GWRE,BREAKEVEN,218.4364,move the stop to entry here
GWRE,TARGET 1,277.54,"measured move, sell part of the position (3.53R)"
GWRE,TARGET 2,347.636,second measured move (6.52R)
HQY,BUY STOP,109.4618,"breakout trigger, above the base pivot"
HQY,BUY LIMIT,107.62,"pullback entry, old resistance acting as support"
HQY,STOP LOSS,96.3264,"initial stop, below base support and the 30 week average"
HQY,BREAKEVEN,122.5972,move the stop to entry here
HQY,TARGET 1,142.48,"measured move, sell part of the position (2.51R)"
HQY,TARGET 2,170.368,second measured move (4.64R)
ETN,BUY STOP,486.418,"breakout trigger, above the base pivot"
ETN,BUY LIMIT,478.0,"pullback entry, old resistance acting as support"
ETN,STOP LOSS,428.0478,"initial stop, below base support and the 30 week average"
ETN,BREAKEVEN,544.7882,move the stop to entry here
ETN,TARGET 1,631.2169,"measured move, sell part of the position (2.48R)"
ETN,TARGET 2,753.7904,second measured move (4.58R)
ELF,BUY STOP,104.6418,"breakout trigger, above the base pivot"
ELF,BUY LIMIT,102.22,"pullback entry, old resistance acting as support"
ELF,STOP LOSS,92.0848,"initial stop, below base support and the 30 week average"
ELF,BREAKEVEN,117.1988,move the stop to entry here
ELF,TARGET 1,155.62,"measured move, sell part of the position (4.06R)"
ELF,TARGET 2,198.34,second measured move (7.46R)
PYPL,BUY STOP,63.7882,"breakout trigger, above the base pivot"
PYPL,BUY LIMIT,62.73,"pullback entry, old resistance acting as support"
PYPL,STOP LOSS,56.1336,"initial stop, below base support and the 30 week average"
PYPL,BREAKEVEN,71.4428,move the stop to entry here
PYPL,TARGET 1,87.2421,"measured move, sell part of the position (3.06R)"
PYPL,TARGET 2,106.8517,second measured move (5.63R)
RVTY,BUY STOP,127.1085,"breakout trigger, above the base pivot"
RVTY,BUY LIMIT,124.97,"pullback entry, old resistance acting as support"
RVTY,STOP LOSS,111.8555,"initial stop, below base support and the 30 week average"
RVTY,BREAKEVEN,142.3615,move the stop to entry here
RVTY,TARGET 1,173.8249,"measured move, sell part of the position (3.06R)"
RVTY,TARGET 2,212.9087,second measured move (5.63R)
PATH,BUY STOP,17.2479,"breakout trigger, above the base pivot"
PATH,BUY LIMIT,16.82,"pullback entry, old resistance acting as support"
PATH,STOP LOSS,15.1781,"initial stop, below base support and the 30 week average"
PATH,BREAKEVEN,19.3176,move the stop to entry here
PATH,TARGET 1,24.44,"measured move, sell part of the position (3.47R)"
PATH,TARGET 2,30.536,second measured move (6.42R)
P,BUY STOP,122.1057,"breakout trigger, above the base pivot"
P,BUY LIMIT,119.1,"pullback entry, old resistance acting as support"
P,STOP LOSS,107.453,"initial stop, below base support and the 30 week average"
P,BREAKEVEN,136.7584,move the stop to entry here
P,TARGET 1,190.56,"measured move, sell part of the position (4.67R)"
P,TARGET 2,247.728,second measured move (8.57R)
OKTA,BUY STOP,161.0037,"breakout trigger, above the base pivot"
OKTA,BUY LIMIT,157.0,"pullback entry, old resistance acting as support"
OKTA,STOP LOSS,141.6832,"initial stop, below base support and the 30 week average"
OKTA,BREAKEVEN,180.3241,move the stop to entry here
OKTA,TARGET 1,251.2,"measured move, sell part of the position (4.67R)"
OKTA,TARGET 2,326.56,second measured move (8.57R)
PCTY,BUY STOP,159.1897,"breakout trigger, above the base pivot"
PCTY,BUY LIMIT,156.18,"pullback entry, old resistance acting as support"
PCTY,STOP LOSS,140.0869,"initial stop, below base support and the 30 week average"
PCTY,BREAKEVEN,178.2925,move the stop to entry here
PCTY,TARGET 1,219.37,"measured move, sell part of the position (3.15R)"
PCTY,TARGET 2,269.922,second measured move (5.8R)
DASH,BUY STOP,230.7277,"breakout trigger, above the base pivot"
DASH,BUY LIMIT,225.948,"pullback entry, old resistance acting as support"
DASH,STOP LOSS,203.0404,"initial stop, below base support and the 30 week average"
DASH,BREAKEVEN,258.415,move the stop to entry here
DASH,TARGET 1,308.596,"measured move, sell part of the position (2.81R)"
DASH,TARGET 2,374.7144,second measured move (5.2R)
DT,BUY STOP,54.3078,"breakout trigger, above the base pivot"
DT,BUY LIMIT,53.285,"pullback entry, old resistance acting as support"
DT,STOP LOSS,47.7908,"initial stop, below base support and the 30 week average"
DT,BREAKEVEN,60.8247,move the stop to entry here
DT,TARGET 1,74.935,"measured move, sell part of the position (3.17R)"
DT,TARGET 2,92.255,second measured move (5.82R)
PLTR,BUY STOP,187.0345,"breakout trigger, above the base pivot"
PLTR,BUY LIMIT,182.44,"pullback entry, old resistance acting as support"
PLTR,STOP LOSS,164.5904,"initial stop, below base support and the 30 week average"
PLTR,BREAKEVEN,209.4786,move the stop to entry here
PLTR,TARGET 1,258.51,"measured move, sell part of the position (3.18R)"
PLTR,TARGET 2,319.366,second measured move (5.9R)
HRB,BUY STOP,59.654,"breakout trigger, above the base pivot"
HRB,BUY LIMIT,58.67,"pullback entry, old resistance acting as support"
HRB,STOP LOSS,52.4955,"initial stop, below base support and the 30 week average"
HRB,BREAKEVEN,66.8125,move the stop to entry here
HRB,TARGET 1,89.8579,"measured move, sell part of the position (4.22R)"
HRB,TARGET 2,114.8083,second measured move (7.7R)
PBF,BUY STOP,77.6102,"breakout trigger, above the base pivot"
PBF,BUY LIMIT,75.68,"pullback entry, old resistance acting as support"
PBF,STOP LOSS,68.297,"initial stop, below base support and the 30 week average"
PBF,BREAKEVEN,86.9234,move the stop to entry here
PBF,TARGET 1,120.4906,"measured move, sell part of the position (4.6R)"
PBF,TARGET 2,156.339,second measured move (8.45R)
NTAP,BUY STOP,212.592,"breakout trigger, above the base pivot"
NTAP,BUY LIMIT,209.06,"pullback entry, old resistance acting as support"
NTAP,STOP LOSS,187.0809,"initial stop, below base support and the 30 week average"
NTAP,BREAKEVEN,238.103,move the stop to entry here
NTAP,TARGET 1,324.4259,"measured move, sell part of the position (4.38R)"
NTAP,TARGET 2,416.7187,second measured move (8.0R)
ANF,BUY STOP,123.1248,"breakout trigger, above the base pivot"
ANF,BUY LIMIT,119.92,"pullback entry, old resistance acting as support"
ANF,STOP LOSS,108.3498,"initial stop, below base support and the 30 week average"
ANF,BREAKEVEN,137.8998,move the stop to entry here
ANF,TARGET 1,185.6185,"measured move, sell part of the position (4.23R)"
ANF,TARGET 2,238.1772,second measured move (7.79R)
DELL,BUY STOP,528.1303,"breakout trigger, above the base pivot"
DELL,BUY LIMIT,514.0,"pullback entry, old resistance acting as support"
DELL,STOP LOSS,464.7547,"initial stop, below base support and the 30 week average"
DELL,BREAKEVEN,591.5059,move the stop to entry here
DELL,TARGET 1,822.4,"measured move, sell part of the position (4.64R)"
DELL,TARGET 2,1069.12,second measured move (8.54R)
TPR,BUY STOP,167.8152,"breakout trigger, above the base pivot"
TPR,BUY LIMIT,164.8,"pullback entry, old resistance acting as support"
TPR,STOP LOSS,147.6774,"initial stop, below base support and the 30 week average"
TPR,BREAKEVEN,187.953,move the stop to entry here
TPR,TARGET 1,205.9754,"measured move, sell part of the position (1.89R)"
TPR,TARGET 2,238.9158,second measured move (3.53R)
BURL,BUY STOP,385.0883,"breakout trigger, above the base pivot"
BURL,BUY LIMIT,378.33,"pullback entry, old resistance acting as support"
BURL,STOP LOSS,338.8777,"initial stop, below base support and the 30 week average"
BURL,BREAKEVEN,431.2989,move the stop to entry here
BURL,TARGET 1,476.66,"measured move, sell part of the position (1.98R)"
BURL,TARGET 2,555.324,second measured move (3.68R)
NDAQ,BUY STOP,102.1419,"breakout trigger, above the base pivot"
NDAQ,BUY LIMIT,100.8279,"pullback entry, old resistance acting as support"
NDAQ,STOP LOSS,89.8849,"initial stop, below base support and the 30 week average"
NDAQ,BREAKEVEN,114.3989,move the stop to entry here
NDAQ,TARGET 1,126.0396,"measured move, sell part of the position (1.95R)"
NDAQ,TARGET 2,146.2089,second measured move (3.6R)
WTW,BUY STOP,350.1594,"breakout trigger, above the base pivot"
WTW,BUY LIMIT,345.52,"pullback entry, old resistance acting as support"
WTW,STOP LOSS,308.1403,"initial stop, below base support and the 30 week average"
WTW,BREAKEVEN,392.1785,move the stop to entry here
WTW,TARGET 1,451.3026,"measured move, sell part of the position (2.41R)"
WTW,TARGET 2,535.9287,second measured move (4.42R)
MORN,BUY STOP,222.4191,"breakout trigger, above the base pivot"
MORN,BUY LIMIT,218.32,"pullback entry, old resistance acting as support"
MORN,STOP LOSS,195.7288,"initial stop, below base support and the 30 week average"
MORN,BREAKEVEN,249.1094,move the stop to entry here
MORN,TARGET 1,295.5773,"measured move, sell part of the position (2.74R)"
MORN,TARGET 2,357.3832,second measured move (5.06R)
MCO,BUY STOP,531.8947,"breakout trigger, above the base pivot"
MCO,BUY LIMIT,525.2238,"pullback entry, old resistance acting as support"
MCO,STOP LOSS,468.0673,"initial stop, below base support and the 30 week average"
MCO,BREAKEVEN,595.7221,move the stop to entry here
MCO,TARGET 1,655.6664,"measured move, sell part of the position (1.94R)"
MCO,TARGET 2,760.0205,second measured move (3.57R)
TRU,BUY STOP,87.9805,"breakout trigger, above the base pivot"
TRU,BUY LIMIT,86.37,"pullback entry, old resistance acting as support"
TRU,STOP LOSS,77.4229,"initial stop, below base support and the 30 week average"
TRU,BREAKEVEN,98.5382,move the stop to entry here
TRU,TARGET 1,138.192,"measured move, sell part of the position (4.76R)"
TRU,TARGET 2,179.6496,second measured move (8.68R)
WTRG,BUY STOP,41.7578,"breakout trigger, above the base pivot"
WTRG,BUY LIMIT,41.3,"pullback entry, old resistance acting as support"
WTRG,STOP LOSS,36.7468,"initial stop, below base support and the 30 week average"
WTRG,BREAKEVEN,46.7687,move the stop to entry here
WTRG,TARGET 1,46.8891,"measured move, sell part of the position (1.02R)"
WTRG,TARGET 2,51.3604,second measured move (1.92R)
AJG,BUY STOP,273.9569,"breakout trigger, above the base pivot"
AJG,BUY LIMIT,269.99,"pullback entry, old resistance acting as support"
AJG,STOP LOSS,241.0821,"initial stop, below base support and the 30 week average"
AJG,BREAKEVEN,306.8317,move the stop to entry here
AJG,TARGET 1,352.9348,"measured move, sell part of the position (2.4R)"
AJG,TARGET 2,419.2907,second measured move (4.42R)
BLK,BUY STOP,1201.2008,"breakout trigger, above the base pivot"
BLK,BUY LIMIT,1186.74,"pullback entry, old resistance acting as support"
BLK,STOP LOSS,1057.0567,"initial stop, below base support and the 30 week average"
BLK,BREAKEVEN,1345.3449,move the stop to entry here
BLK,TARGET 1,1461.2307,"measured move, sell part of the position (1.8R)"
BLK,TARGET 2,1680.8232,second measured move (3.33R)
AWK,BUY STOP,141.9017,"breakout trigger, above the base pivot"
AWK,BUY LIMIT,140.3167,"pullback entry, old resistance acting as support"
AWK,STOP LOSS,124.8735,"initial stop, below base support and the 30 week average"
AWK,BREAKEVEN,158.9299,move the stop to entry here
AWK,TARGET 1,173.7451,"measured move, sell part of the position (1.87R)"
AWK,TARGET 2,200.4878,second measured move (3.44R)
WBD,BUY STOP,29.4619,"breakout trigger, above the base pivot"
WBD,BUY LIMIT,29.2,"pullback entry, old resistance acting as support"
WBD,STOP LOSS,25.9265,"initial stop, below base support and the 30 week average"
WBD,BREAKEVEN,32.9973,move the stop to entry here
WBD,TARGET 1,33.15,"measured move, sell part of the position (1.04R)"
WBD,TARGET 2,36.31,second measured move (1.94R)
MRSH,BUY STOP,200.8131,"breakout trigger, above the base pivot"
MRSH,BUY LIMIT,198.49,"pullback entry, old resistance acting as support"
MRSH,STOP LOSS,176.7155,"initial stop, below base support and the 30 week average"
MRSH,BREAKEVEN,224.9107,move the stop to entry here
MRSH,TARGET 1,241.2609,"measured move, sell part of the position (1.68R)"
MRSH,TARGET 2,275.4777,second measured move (3.1R)
PB,BUY STOP,76.6188,"breakout trigger, above the base pivot"
PB,BUY LIMIT,75.87,"pullback entry, old resistance acting as support"
PB,STOP LOSS,69.0412,"initial stop, below base support and the 30 week average"
PB,BREAKEVEN,84.1964,move the stop to entry here
PB,TARGET 1,112.4012,"measured move, sell part of the position (4.72R)"
PB,TARGET 2,141.6261,second measured move (8.58R)
BKNG,BUY STOP,220.1464,"breakout trigger, above the base pivot"
BKNG,BUY LIMIT,216.42,"pullback entry, old resistance acting as support"
BKNG,STOP LOSS,193.7288,"initial stop, below base support and the 30 week average"
BKNG,BREAKEVEN,246.564,move the stop to entry here
BKNG,TARGET 1,285.6402,"measured move, sell part of the position (2.48R)"
BKNG,TARGET 2,341.0164,second measured move (4.58R)
AFG,BUY STOP,150.1435,"breakout trigger, above the base pivot"
AFG,BUY LIMIT,148.71,"pullback entry, old resistance acting as support"
AFG,STOP LOSS,132.1262,"initial stop, below base support and the 30 week average"
AFG,BREAKEVEN,168.1607,move the stop to entry here
AFG,TARGET 1,175.7244,"measured move, sell part of the position (1.42R)"
AFG,TARGET 2,197.3359,second measured move (2.62R)
TOST,BUY STOP,37.4276,"breakout trigger, above the base pivot"
TOST,BUY LIMIT,36.68,"pullback entry, old resistance acting as support"
TOST,STOP LOSS,32.9363,"initial stop, below base support and the 30 week average"
TOST,BREAKEVEN,41.9189,move the stop to entry here
TOST,TARGET 1,51.1,"measured move, sell part of the position (3.04R)"
TOST,TARGET 2,62.636,second measured move (5.61R)
APO,BUY STOP,146.1977,"breakout trigger, above the base pivot"
APO,BUY LIMIT,143.7229,"pullback entry, old resistance acting as support"
APO,STOP LOSS,128.654,"initial stop, below base support and the 30 week average"
APO,BREAKEVEN,163.7414,move the stop to entry here
APO,TARGET 1,188.721,"measured move, sell part of the position (2.42R)"
APO,TARGET 2,224.7194,second measured move (4.48R)
CBSH,BUY STOP,61.4675,"breakout trigger, above the base pivot"
CBSH,BUY LIMIT,60.92,"pullback entry, old resistance acting as support"
CBSH,STOP LOSS,54.0914,"initial stop, below base support and the 30 week average"
CBSH,BREAKEVEN,68.8436,move the stop to entry here
CBSH,TARGET 1,75.0964,"measured move, sell part of the position (1.85R)"
CBSH,TARGET 2,86.4375,second measured move (3.39R)
AMH,BUY STOP,35.4158,"breakout trigger, above the base pivot"
AMH,BUY LIMIT,35.07,"pullback entry, old resistance acting as support"
AMH,STOP LOSS,31.1659,"initial stop, below base support and the 30 week average"
AMH,BREAKEVEN,39.6657,move the stop to entry here
AMH,TARGET 1,43.1898,"measured move, sell part of the position (1.83R)"
AMH,TARGET 2,49.6857,second measured move (3.36R)
ABT,BUY STOP,118.1747,"breakout trigger, above the base pivot"
ABT,BUY LIMIT,116.66,"pullback entry, old resistance acting as support"
ABT,STOP LOSS,103.9938,"initial stop, below base support and the 30 week average"
ABT,BREAKEVEN,132.3557,move the stop to entry here
ABT,TARGET 1,151.9305,"measured move, sell part of the position (2.38R)"
ABT,TARGET 2,180.1469,second measured move (4.37R)
DIS,BUY STOP,113.4351,"breakout trigger, above the base pivot"
DIS,BUY LIMIT,112.0911,"pullback entry, old resistance acting as support"
DIS,STOP LOSS,99.8229,"initial stop, below base support and the 30 week average"
DIS,BREAKEVEN,127.0473,move the stop to entry here
DIS,TARGET 1,132.6932,"measured move, sell part of the position (1.41R)"
DIS,TARGET 2,149.175,second measured move (2.63R)
MDLZ,BUY STOP,67.4619,"breakout trigger, above the base pivot"
MDLZ,BUY LIMIT,66.65,"pullback entry, old resistance acting as support"
MDLZ,STOP LOSS,59.3664,"initial stop, below base support and the 30 week average"
MDLZ,BREAKEVEN,75.5573,move the stop to entry here
MDLZ,TARGET 1,85.0014,"measured move, sell part of the position (2.17R)"
MDLZ,TARGET 2,99.6824,second measured move (3.98R)
HIG,BUY STOP,147.5107,"breakout trigger, above the base pivot"
HIG,BUY LIMIT,146.07,"pullback entry, old resistance acting as support"
HIG,STOP LOSS,129.8094,"initial stop, below base support and the 30 week average"
HIG,BREAKEVEN,165.212,move the stop to entry here
HIG,TARGET 1,168.1254,"measured move, sell part of the position (1.16R)"
HIG,TARGET 2,185.7697,second measured move (2.16R)
TXNM,SELL STOP,55.0127,"breakout trigger, below the base pivot"
TXNM,SELL LIMIT,55.2336,"pullback entry, old support acting as resistance"
TXNM,STOP LOSS,58.3162,"initial stop, above base resistance and the 30 week average"
TXNM,BREAKEVEN,51.7092,move the stop to entry here
TXNM,TARGET 1,51.3721,"measured move, sell part of the position (1.1R)"
TXNM,TARGET 2,48.2828,second measured move (2.04R)
PNFP,BUY STOP,111.7339,"breakout trigger, above the base pivot"
PNFP,BUY LIMIT,110.33,"pullback entry, old resistance acting as support"
PNFP,STOP LOSS,98.3259,"initial stop, below base support and the 30 week average"
PNFP,BREAKEVEN,125.142,move the stop to entry here
PNFP,TARGET 1,176.528,"measured move, sell part of the position (4.83R)"
PNFP,TARGET 2,229.4864,second measured move (8.78R)
COF,BUY STOP,230.4956,"breakout trigger, above the base pivot"
COF,BUY LIMIT,227.3372,"pullback entry, old resistance acting as support"
COF,STOP LOSS,202.8361,"initial stop, below base support and the 30 week average"
COF,BREAKEVEN,258.1551,move the stop to entry here
COF,TARGET 1,281.0554,"measured move, sell part of the position (1.83R)"
COF,TARGET 2,324.0299,second measured move (3.38R)
BXP,BUY STOP,75.8654,"breakout trigger, above the base pivot"
BXP,BUY LIMIT,74.94,"pullback entry, old resistance acting as support"
BXP,STOP LOSS,66.7615,"initial stop, below base support and the 30 week average"
BXP,BREAKEVEN,84.9692,move the stop to entry here
BXP,TARGET 1,101.3435,"measured move, sell part of the position (2.8R)"
BXP,TARGET 2,122.4664,second measured move (5.12R)
DOCU,BUY STOP,66.691,"breakout trigger, above the base pivot"
DOCU,BUY LIMIT,65.25,"pullback entry, old resistance acting as support"
DOCU,STOP LOSS,58.6881,"initial stop, below base support and the 30 week average"
DOCU,BREAKEVEN,74.6939,move the stop to entry here
DOCU,TARGET 1,91.305,"measured move, sell part of the position (3.08R)"
DOCU,TARGET 2,112.149,second measured move (5.68R)
SLM,BUY STOP,28.7191,"breakout trigger, above the base pivot"
SLM,BUY LIMIT,28.27,"pullback entry, old resistance acting as support"
SLM,STOP LOSS,25.2728,"initial stop, below base support and the 30 week average"
SLM,BREAKEVEN,32.1654,move the stop to entry here
SLM,TARGET 1,38.8769,"measured move, sell part of the position (2.95R)"
SLM,TARGET 2,47.3623,second measured move (5.41R)
AIG,BUY STOP,83.3144,"breakout trigger, above the base pivot"
AIG,BUY LIMIT,82.45,"pullback entry, old resistance acting as support"
AIG,STOP LOSS,73.3167,"initial stop, below base support and the 30 week average"
AIG,BREAKEVEN,93.3121,move the stop to entry here
AIG,TARGET 1,95.2987,"measured move, sell part of the position (1.2R)"
AIG,TARGET 2,105.5776,second measured move (2.23R)
SYF,BUY STOP,83.0471,"breakout trigger, above the base pivot"
SYF,BUY LIMIT,81.92,"pullback entry, old resistance acting as support"
SYF,STOP LOSS,73.0815,"initial stop, below base support and the 30 week average"
SYF,BREAKEVEN,93.0128,move the stop to entry here
SYF,TARGET 1,101.285,"measured move, sell part of the position (1.83R)"
SYF,TARGET 2,116.777,second measured move (3.38R)
ECL,BUY STOP,310.9462,"breakout trigger, above the base pivot"
ECL,BUY LIMIT,307.605,"pullback entry, old resistance acting as support"
ECL,STOP LOSS,273.6327,"initial stop, below base support and the 30 week average"
ECL,BREAKEVEN,348.2597,move the stop to entry here
ECL,TARGET 1,372.7209,"measured move, sell part of the position (1.66R)"
ECL,TARGET 2,424.8136,second measured move (3.05R)
BX,BUY STOP,152.7278,"breakout trigger, above the base pivot"
BX,BUY LIMIT,150.24,"pullback entry, old resistance acting as support"
BX,STOP LOSS,134.4005,"initial stop, below base support and the 30 week average"
BX,BREAKEVEN,171.0551,move the stop to entry here
BX,TARGET 1,200.7018,"measured move, sell part of the position (2.62R)"
BX,TARGET 2,241.0712,second measured move (4.82R)
ED,BUY STOP,115.4186,"breakout trigger, above the base pivot"
ED,BUY LIMIT,114.3268,"pullback entry, old resistance acting as support"
ED,STOP LOSS,103.9468,"initial stop, below base support and the 30 week average"
ED,BREAKEVEN,126.8905,move the stop to entry here
ED,TARGET 1,127.5764,"measured move, sell part of the position (1.06R)"
ED,TARGET 2,138.176,second measured move (1.98R)
ORI,BUY STOP,45.1181,"breakout trigger, above the base pivot"
ORI,BUY LIMIT,44.65,"pullback entry, old resistance acting as support"
ORI,STOP LOSS,39.7039,"initial stop, below base support and the 30 week average"
ORI,BREAKEVEN,50.5323,move the stop to entry here
ORI,TARGET 1,55.1115,"measured move, sell part of the position (1.85R)"
ORI,TARGET 2,63.4808,second measured move (3.39R)
ACGL,BUY STOP,108.1939,"breakout trigger, above the base pivot"
ACGL,BUY LIMIT,107.09,"pullback entry, old resistance acting as support"
ACGL,STOP LOSS,95.2106,"initial stop, below base support and the 30 week average"
ACGL,BREAKEVEN,121.1772,move the stop to entry here
ACGL,TARGET 1,128.6715,"measured move, sell part of the position (1.58R)"
ACGL,TARGET 2,145.9368,second measured move (2.91R)
FOX,BUY STOP,66.6247,"breakout trigger, above the base pivot"
FOX,BUY LIMIT,65.6372,"pullback entry, old resistance acting as support"
FOX,STOP LOSS,58.6297,"initial stop, below base support and the 30 week average"
FOX,BREAKEVEN,74.6197,move the stop to entry here
FOX,TARGET 1,87.1945,"measured move, sell part of the position (2.57R)"
FOX,TARGET 2,104.4403,second measured move (4.73R)
HAL,BUY STOP,44.0614,"breakout trigger, above the base pivot"
HAL,BUY LIMIT,43.4053,"pullback entry, old resistance acting as support"
HAL,STOP LOSS,38.7741,"initial stop, below base support and the 30 week average"
HAL,BREAKEVEN,49.3488,move the stop to entry here
HAL,TARGET 1,55.8307,"measured move, sell part of the position (2.23R)"
HAL,TARGET 2,65.771,second measured move (4.11R)
IDCC,BUY STOP,393.4661,"breakout trigger, above the base pivot"
IDCC,BUY LIMIT,386.3178,"pullback entry, old resistance acting as support"
IDCC,STOP LOSS,346.2502,"initial stop, below base support and the 30 week average"
IDCC,BREAKEVEN,440.682,move the stop to entry here
IDCC,TARGET 1,524.1273,"measured move, sell part of the position (2.77R)"
IDCC,TARGET 2,634.375,second measured move (5.1R)
OZK,BUY STOP,53.7956,"breakout trigger, above the base pivot"
OZK,BUY LIMIT,53.18,"pullback entry, old resistance acting as support"
OZK,STOP LOSS,47.7104,"initial stop, below base support and the 30 week average"
OZK,BREAKEVEN,59.8808,move the stop to entry here
OZK,TARGET 1,64.1947,"measured move, sell part of the position (1.71R)"
OZK,TARGET 2,73.0065,second measured move (3.16R)
UGI,BUY STOP,41.002,"breakout trigger, above the base pivot"
UGI,BUY LIMIT,40.4844,"pullback entry, old resistance acting as support"
UGI,STOP LOSS,36.0817,"initial stop, below base support and the 30 week average"
UGI,BREAKEVEN,45.9222,move the stop to entry here
UGI,TARGET 1,50.7161,"measured move, sell part of the position (1.97R)"
UGI,TARGET 2,58.9014,second measured move (3.64R)
GME,SELL STOP,17.4064,"breakout trigger, below the base pivot"
GME,SELL LIMIT,17.79,"pullback entry, old support acting as resistance"
GME,STOP LOSS,19.4952,"initial stop, above base resistance and the 30 week average"
GME,BREAKEVEN,15.3176,move the stop to entry here
GME,TARGET 1,7.116,"measured move, sell part of the position (4.93R)"
GME,TARGET 2,0.4448,second measured move (8.12R)
WMT,SELL STOP,100.4336,"breakout trigger, below the base pivot"
WMT,SELL LIMIT,102.15,"pullback entry, old support acting as resistance"
WMT,STOP LOSS,112.4856,"initial stop, above base resistance and the 30 week average"
WMT,BREAKEVEN,88.3816,move the stop to entry here
WMT,TARGET 1,69.4628,"measured move, sell part of the position (2.57R)"
WMT,TARGET 2,43.313,second measured move (4.74R)
PEG,SELL STOP,71.7825,"breakout trigger, below the base pivot"
PEG,SELL LIMIT,72.6,"pullback entry, old support acting as resistance"
PEG,STOP LOSS,80.3963,"initial stop, above base resistance and the 30 week average"
PEG,BREAKEVEN,63.1686,move the stop to entry here
PEG,TARGET 1,59.0178,"measured move, sell part of the position (1.48R)"
PEG,TARGET 2,48.1521,second measured move (2.74R)
RBA,SELL STOP,79.8739,"breakout trigger, below the base pivot"
RBA,SELL LIMIT,81.708,"pullback entry, old support acting as resistance"
RBA,STOP LOSS,89.4587,"initial stop, above base resistance and the 30 week average"
RBA,BREAKEVEN,70.289,move the stop to entry here
RBA,TARGET 1,44.9047,"measured move, sell part of the position (3.65R)"
RBA,TARGET 2,15.4621,second measured move (6.72R)
TXT,SELL STOP,81.375,"breakout trigger, below the base pivot"
TXT,SELL LIMIT,82.68,"pullback entry, old support acting as resistance"
TXT,STOP LOSS,91.14,"initial stop, above base resistance and the 30 week average"
TXT,BREAKEVEN,71.61,move the stop to entry here
TXT,TARGET 1,63.8339,"measured move, sell part of the position (1.8R)"
TXT,TARGET 2,48.7569,second measured move (3.34R)
ECHO,SELL STOP,79.6884,"breakout trigger, below the base pivot"
ECHO,SELL LIMIT,82.48,"pullback entry, old support acting as resistance"
ECHO,STOP LOSS,89.251,"initial stop, above base resistance and the 30 week average"
ECHO,BREAKEVEN,70.1258,move the stop to entry here
ECHO,TARGET 1,32.992,"measured move, sell part of the position (4.88R)"
ECHO,TARGET 2,2.062,second measured move (8.12R)
BWXT,SELL STOP,150.4603,"breakout trigger, below the base pivot"
BWXT,SELL LIMIT,154.59,"pullback entry, old support acting as resistance"
BWXT,STOP LOSS,168.5155,"initial stop, above base resistance and the 30 week average"
BWXT,BREAKEVEN,132.4051,move the stop to entry here
BWXT,TARGET 1,68.0634,"measured move, sell part of the position (4.56R)"
BWXT,TARGET 2,3.8647,second measured move (8.12R)
TLN,SELL STOP,290.8748,"breakout trigger, below the base pivot"
TLN,SELL LIMIT,301.45,"pullback entry, old support acting as resistance"
TLN,STOP LOSS,325.7798,"initial stop, above base resistance and the 30 week average"
TLN,BREAKEVEN,255.9698,move the stop to entry here
TLN,TARGET 1,153.059,"measured move, sell part of the position (3.95R)"
TLN,TARGET 2,34.3462,second measured move (7.35R)
TJX,SELL STOP,137.3059,"breakout trigger, below the base pivot"
TJX,SELL LIMIT,139.31,"pullback entry, old support acting as resistance"
TJX,STOP LOSS,153.7826,"initial stop, above base resistance and the 30 week average"
TJX,BREAKEVEN,120.8292,move the stop to entry here
TJX,TARGET 1,109.1547,"measured move, sell part of the position (1.71R)"
TJX,TARGET 2,85.0304,second measured move (3.17R)
ESAB,SELL STOP,75.0189,"breakout trigger, below the base pivot"
ESAB,SELL LIMIT,77.34,"pullback entry, old support acting as resistance"
ESAB,STOP LOSS,84.0211,"initial stop, above base resistance and the 30 week average"
ESAB,BREAKEVEN,66.0166,move the stop to entry here
ESAB,TARGET 1,30.936,"measured move, sell part of the position (4.9R)"
ESAB,TARGET 2,1.9335,second measured move (8.12R)
APTV,SELL STOP,44.7543,"breakout trigger, below the base pivot"
APTV,SELL LIMIT,46.16,"pullback entry, old support acting as resistance"
APTV,STOP LOSS,50.1248,"initial stop, above base resistance and the 30 week average"
APTV,BREAKEVEN,39.3838,move the stop to entry here
APTV,TARGET 1,18.464,"measured move, sell part of the position (4.9R)"
APTV,TARGET 2,1.154,second measured move (8.12R)
CMS,SELL STOP,67.4693,"breakout trigger, below the base pivot"
CMS,SELL LIMIT,68.25,"pullback entry, old support acting as resistance"
CMS,STOP LOSS,75.5656,"initial stop, above base resistance and the 30 week average"
CMS,BREAKEVEN,59.373,move the stop to entry here
CMS,TARGET 1,57.3977,"measured move, sell part of the position (1.24R)"
CMS,TARGET 2,48.7158,second measured move (2.32R)
KNF,SELL STOP,61.8325,"breakout trigger, below the base pivot"
