ticker,type,price,why
EWBC,BREAKEVEN,155.6132,move the stop to entry here
EWBC,TARGET 1,173.9408,"measured move, sell part of the position (2.1R)"
EWBC,TARGET 2,203.1175,second measured move (3.85R)
AMP,BUY STOP,578.9529,"breakout trigger, above the base pivot"
AMP,BUY LIMIT,572.56,"pullback entry, old resistance acting as support"
AMP,STOP LOSS,509.4785,"initial stop, below base support and the 30 week average"
AMP,BREAKEVEN,648.4272,move the stop to entry here
AMP,TARGET 1,916.096,"measured move, sell part of the position (4.85R)"
AMP,TARGET 2,1190.9248,second measured move (8.81R)
AMGN,BUY STOP,448.5467,"breakout trigger, above the base pivot"
AMGN,BUY LIMIT,443.2,"pullback entry, old resistance acting as support"
AMGN,STOP LOSS,394.7211,"initial stop, below base support and the 30 week average"
AMGN,BREAKEVEN,502.3723,move the stop to entry here
AMGN,TARGET 1,570.1306,"measured move, sell part of the position (2.26R)"
AMGN,TARGET 2,671.675,second measured move (4.15R)
FCX,BUY STOP,78.9828,"breakout trigger, above the base pivot"
FCX,BUY LIMIT,77.33,"pullback entry, old resistance acting as support"
FCX,STOP LOSS,69.5048,"initial stop, below base support and the 30 week average"
FCX,BREAKEVEN,88.4607,move the stop to entry here
FCX,TARGET 1,104.1043,"measured move, sell part of the position (2.65R)"
FCX,TARGET 2,125.5237,second measured move (4.91R)
MA,BUY STOP,589.871,"breakout trigger, above the base pivot"
MA,BUY LIMIT,583.71,"pullback entry, old resistance acting as support"
MA,STOP LOSS,519.0865,"initial stop, below base support and the 30 week average"
MA,BREAKEVEN,660.6555,move the stop to entry here
MA,TARGET 1,703.6774,"measured move, sell part of the position (1.61R)"
MA,TARGET 2,799.6514,second measured move (2.96R)
PFE,BUY STOP,28.7416,"breakout trigger, above the base pivot"
PFE,BUY LIMIT,28.44,"pullback entry, old resistance acting as support"
PFE,STOP LOSS,25.2926,"initial stop, below base support and the 30 week average"
PFE,BREAKEVEN,32.1906,move the stop to entry here
PFE,TARGET 1,33.6661,"measured move, sell part of the position (1.43R)"
PFE,TARGET 2,37.847,second measured move (2.64R)
CPAY,BUY STOP,432.1354,"breakout trigger, above the base pivot"
CPAY,BUY LIMIT,425.95,"pullback entry, old resistance acting as support"
CPAY,STOP LOSS,380.2791,"initial stop, below base support and the 30 week average"
CPAY,BREAKEVEN,483.9916,move the stop to entry here
CPAY,TARGET 1,570.74,"measured move, sell part of the position (2.67R)"
CPAY,TARGET 2,686.572,second measured move (4.91R)
FTI,BUY STOP,81.8324,"breakout trigger, above the base pivot"
FTI,BUY LIMIT,80.55,"pullback entry, old resistance acting as support"
FTI,STOP LOSS,72.0125,"initial stop, below base support and the 30 week average"
FTI,BREAKEVEN,91.6523,move the stop to entry here
FTI,TARGET 1,107.0133,"measured move, sell part of the position (2.56R)"
FTI,TARGET 2,128.1839,second measured move (4.72R)
SAIC,BUY STOP,131.7756,"breakout trigger, above the base pivot"
SAIC,BUY LIMIT,129.7,"pullback entry, old resistance acting as support"
SAIC,STOP LOSS,115.9625,"initial stop, below base support and the 30 week average"
SAIC,BREAKEVEN,147.5887,move the stop to entry here
SAIC,TARGET 1,197.8199,"measured move, sell part of the position (4.18R)"
SAIC,TARGET 2,252.3158,second measured move (7.62R)
PR,BUY STOP,24.4656,"breakout trigger, above the base pivot"
PR,BUY LIMIT,24.09,"pullback entry, old resistance acting as support"
PR,STOP LOSS,21.5297,"initial stop, below base support and the 30 week average"
PR,BREAKEVEN,27.4015,move the stop to entry here
PR,TARGET 1,33.8585,"measured move, sell part of the position (3.2R)"
PR,TARGET 2,41.6732,second measured move (5.86R)
GPN,BUY STOP,97.2594,"breakout trigger, above the base pivot"
GPN,BUY LIMIT,95.58,"pullback entry, old resistance acting as support"
GPN,STOP LOSS,85.5883,"initial stop, below base support and the 30 week average"
GPN,BREAKEVEN,108.9305,move the stop to entry here
GPN,TARGET 1,130.0,"measured move, sell part of the position (2.81R)"
GPN,TARGET 2,157.536,second measured move (5.16R)
GM,BUY STOP,93.1302,"breakout trigger, above the base pivot"
GM,BUY LIMIT,91.85,"pullback entry, old resistance acting as support"
GM,STOP LOSS,81.9546,"initial stop, below base support and the 30 week average"
GM,BREAKEVEN,104.3058,move the stop to entry here
GM,TARGET 1,113.4223,"measured move, sell part of the position (1.82R)"
GM,TARGET 2,130.6802,second measured move (3.36R)
EHC,BUY STOP,129.2357,"breakout trigger, above the base pivot"
