ticker,type,price,why
DOGE-USD,SELL STOP,0.0647,"breakout trigger, below the base pivot"
DOGE-USD,SELL LIMIT,0.068,"pullback entry, old support acting as resistance"
DOGE-USD,STOP LOSS,0.0841,"initial stop, above base resistance and the 30 week average"
DOGE-USD,BREAKEVEN,0.0453,move the stop to entry here
DOGE-USD,TARGET 1,0.0087,"measured move, sell part of the position (2.89R)"
DOGE-USD,TARGET 2,0.0017,second measured move (3.25R)
VET-USD,BUY STOP,0.0106,"breakout trigger, above the base pivot"
VET-USD,BUY LIMIT,0.0103,"pullback entry, old resistance acting as support"
VET-USD,STOP LOSS,0.0074,"initial stop, below base support and the 30 week average"
VET-USD,BREAKEVEN,0.0138,move the stop to entry here
VET-USD,TARGET 1,0.0164,"measured move, sell part of the position (1.82R)"
VET-USD,TARGET 2,0.0212,second measured move (3.34R)
ETC-USD,SELL STOP,5.7409,"breakout trigger, below the base pivot"
ETC-USD,SELL LIMIT,6.0184,"pullback entry, old support acting as resistance"
ETC-USD,STOP LOSS,7.4632,"initial stop, above base resistance and the 30 week average"
ETC-USD,BREAKEVEN,4.0186,move the stop to entry here
ETC-USD,TARGET 1,0.437,"measured move, sell part of the position (3.08R)"
ETC-USD,TARGET 2,0.1505,second measured move (3.25R)
XRP-USD,SELL STOP,0.9415,"breakout trigger, below the base pivot"
XRP-USD,SELL LIMIT,0.9884,"pullback entry, old support acting as resistance"
XRP-USD,STOP LOSS,1.2239,"initial stop, above base resistance and the 30 week average"
XRP-USD,BREAKEVEN,0.6591,move the stop to entry here
XRP-USD,TARGET 1,0.0494,"measured move, sell part of the position (3.16R)"
XRP-USD,TARGET 2,0.0247,second measured move (3.25R)
FIL-USD,SELL STOP,0.5731,"breakout trigger, below the base pivot"
FIL-USD,SELL LIMIT,0.614,"pullback entry, old support acting as resistance"
FIL-USD,STOP LOSS,0.745,"initial stop, above base resistance and the 30 week average"
FIL-USD,BREAKEVEN,0.4012,move the stop to entry here
FIL-USD,TARGET 1,0.0307,"measured move, sell part of the position (3.15R)"
FIL-USD,TARGET 2,0.0154,second measured move (3.24R)
ATOM-USD,SELL STOP,1.1524,"breakout trigger, below the base pivot"
ATOM-USD,SELL LIMIT,1.2151,"pullback entry, old support acting as resistance"
ATOM-USD,STOP LOSS,1.4981,"initial stop, above base resistance and the 30 week average"
ATOM-USD,BREAKEVEN,0.8067,move the stop to entry here
ATOM-USD,TARGET 1,0.0608,"measured move, sell part of the position (3.16R)"
ATOM-USD,TARGET 2,0.0304,second measured move (3.25R)
SUI20947-USD,SELL STOP,0.5961,"breakout trigger, below the base pivot"
SUI20947-USD,SELL LIMIT,0.6393,"pullback entry, old support acting as resistance"
SUI20947-USD,STOP LOSS,0.7749,"initial stop, above base resistance and the 30 week average"
SUI20947-USD,BREAKEVEN,0.4173,move the stop to entry here
SUI20947-USD,TARGET 1,0.032,"measured move, sell part of the position (3.15R)"
SUI20947-USD,TARGET 2,0.016,second measured move (3.24R)
DOT-USD,SELL STOP,0.6809,"breakout trigger, below the base pivot"
DOT-USD,SELL LIMIT,0.7278,"pullback entry, old support acting as resistance"
DOT-USD,STOP LOSS,0.8852,"initial stop, above base resistance and the 30 week average"
DOT-USD,BREAKEVEN,0.4766,move the stop to entry here
DOT-USD,TARGET 1,0.0364,"measured move, sell part of the position (3.16R)"
DOT-USD,TARGET 2,0.0182,second measured move (3.24R)
AVAX-USD,SELL STOP,5.3812,"breakout trigger, below the base pivot"
AVAX-USD,SELL LIMIT,5.6936,"pullback entry, old support acting as resistance"
AVAX-USD,STOP LOSS,6.9956,"initial stop, above base resistance and the 30 week average"
